Open,High,Low,Close,Volume,Adj Close
83.8499984741211,85.4000015258789,83.12000274658203,83.4800033569336,2198900,83.4800033569336
83.44999694824219,84.9000015258789,81.80999755859375,84.55999755859375,2306300,84.55999755859375
83.3499984741211,83.52999877929688,81.91999816894531,82.26000213623047,2429800,82.26000213623047
82.37999725341797,83.37000274658203,81.5,82.91999816894531,1983700,82.91999816894531
82.58000183105469,83.76000213623047,81.91999816894531,83.5999984741211,2455100,83.5999984741211
84.22000122070312,84.5,80.81999969482422,80.87999725341797,2267900,80.87999725341797
79.56999969482422,80.80000305175781,78.44000244140625,80.79000091552734,3305500,80.79000091552734
79.5,79.87000274658203,78.19000244140625,78.86000061035156,2536600,78.86000061035156
79.23999786376953,79.44000244140625,77.45999908447266,79.01000213623047,3338200,79.01000213623047
78.68000030517578,79.38999938964844,78.0,79.0,4232700,79.0
79.47000122070312,80.69000244140625,79.18000030517578,80.0,3280900,80.0
81.61000061035156,82.87999725341797,81.05000305175781,81.63999938964844,4069200,81.63999938964844
82.0999984741211,83.9000015258789,81.80999755859375,83.08000183105469,4393000,83.08000183105469
83.33999633789062,84.58000183105469,82.47000122070312,84.5199966430664,2791500,84.5199966430664
85.31999969482422,86.47000122070312,84.95999908447266,86.04000091552734,3458400,86.04000091552734
85.26000213623047,87.47000122070312,84.98999786376953,87.44000244140625,2581700,87.44000244140625
87.55000305175781,87.80999755859375,86.41000366210938,86.72000122070312,4054300,86.72000122070312
85.98999786376953,88.88999938964844,81.1500015258789,81.33000183105469,5669800,81.33000183105469
81.7699966430664,83.81999969482422,80.4000015258789,83.5,4805100,83.5
82.8499984741211,84.5999984741211,82.45999908447266,83.5,4491300,83.5
82.80999755859375,83.47000122070312,82.05000305175781,82.2300033569336,2699700,82.2300033569336
81.72000122070312,85.08999633789062,81.45999908447266,84.19000244140625,3825000,84.19000244140625
82.5,83.37999725341797,81.16000366210938,82.0199966430664,3690700,82.0199966430664
81.69000244140625,82.0,80.9000015258789,81.29000091552734,3701600,81.29000091552734
81.12000274658203,82.38999938964844,80.8499984741211,82.0199966430664,2928700,82.0199966430664
82.0199966430664,84.2300033569336,81.61000061035156,83.77999877929688,2959000,83.77999877929688
80.62000274658203,81.48999786376953,78.26000213623047,79.08999633789062,4272600,79.08999633789062
80.18000030517578,80.62000274658203,78.5999984741211,79.13999938964844,2582300,79.13999938964844
79.98999786376953,81.0,79.11000061035156,79.41000366210938,3658100,79.41000366210938
78.87999725341797,79.52999877929688,77.62000274658203,78.95999908447266,3343000,78.95999908447266
77.9800033569336,78.16999816894531,76.2699966430664,77.76000213623047,2757900,77.76000213623047
77.30999755859375,77.73999786376953,76.7699966430664,77.62999725341797,3122000,77.62999725341797
78.19999694824219,78.7699966430664,77.31999969482422,77.80000305175781,1941800,77.80000305175781
77.63999938964844,78.2699966430664,76.97000122070312,77.2300033569336,2540400,77.2300033569336
76.93000030517578,77.69999694824219,76.0999984741211,77.5199966430664,2782800,77.5199966430664
78.4000015258789,79.94999694824219,78.05999755859375,78.83000183105469,2171700,78.83000183105469
77.7300033569336,79.41999816894531,77.6500015258789,78.7699966430664,1515700,78.7699966430664
79.47000122070312,80.02999877929688,78.66999816894531,79.48999786376953,2668400,79.48999786376953
79.62999725341797,79.66999816894531,78.43000030517578,79.05000305175781,2117800,79.05000305175781
78.91999816894531,78.97000122070312,77.55999755859375,78.48999786376953,1495600,78.48999786376953
78.0,80.62000274658203,77.80999755859375,79.43000030517578,2632800,79.43000030517578
80.12999725341797,80.2300033569336,77.58999633789062,78.12999725341797,2634900,78.12999725341797
78.55999755859375,79.94999694824219,78.48999786376953,78.7699966430664,2154100,78.7699966430664
79.36000061035156,80.0,78.0,78.19000244140625,1356600,78.19000244140625
